Title,Price,ProductURL,ImageURL
"Hill's Science Diet Adult Large Breed Chicken & Barley Dog Dry Food",$125.99,https://yourpetpa.com.au/products/hills-science-diet-adult-large-breed-chicken-barley-dog-dry-food,https://yourpetpa.com.au/cdn/shop/products/Hill_sScienceDietAdultLargeBreedDryDogFood12kg10315HG-1_1024x1024.jpg?v=1629687474
"Pro Plan Veterinary Diet Fortiflora Dog  30 x 1G Sachet",$41.50,https://yourpetpa.com.au/products/purina-fortiflora-canine-30-x-1g-sachet,https://yourpetpa.com.au/cdn/shop/products/ScreenShot2022-01-06at11.08.48am_1024x1024.png?v=1641431464
"Complete Calm Chews for Dogs 60 chews",$29.50,https://yourpetpa.com.au/products/complete-calm-chews-for-dogs-60-chews,https://yourpetpa.com.au/cdn/shop/products/34368E_PAWCompleteCalm_300g_LAB_ANZ_Front_1024x1024.png?v=1664335166
"Antinol Rapid for Dogs",$58.25,https://yourpetpa.com.au/products/antinol-rapid-for-dogs,https://yourpetpa.com.au/cdn/shop/files/Antinoldog_1024x1024.png?v=1691559288
"Hill's Prescription C/D Stress Chicken Urinary Care Cat Food 12 x 85gm pouches",$38.00,https://yourpetpa.com.au/products/hills-prescription-c-d-stress-chicken-urinary-care-cat-food-12-x-85gm-pouches,https://yourpetpa.com.au/cdn/shop/products/122202_1024x1024.jpg?v=1658287002
"Hill's Prescription Diet Metabolic+ Mobility Joint/Weight loss Dog Dry Food",$89.99,https://yourpetpa.com.au/products/hills-prescription-diet-metabolic-mobility-dog-dry-food,https://yourpetpa.com.au/cdn/shop/products/120357_1024x1024.jpg?v=1658470142
"Hill's Science Diet Adult 7+ Indoor cat food",$40.99,https://yourpetpa.com.au/products/hills-science-diet-adult-7-indoor-cat-food,https://yourpetpa.com.au/cdn/shop/products/Hill_sScienceDietAdult7_IndoorDryCatFood3.17kg8880-1_1024x1024.jpg?v=1633472907
"Zylkene Capsules for Dogs & Cats (30's)",$31.87,https://yourpetpa.com.au/products/zylkene-capsules-for-dogs-cats,https://yourpetpa.com.au/cdn/shop/products/zylkene-anxiety-capsules-all-packaging__71936.1554467035_1024x1024.jpg?v=1664335262
"Hill's Prescription Diet Metabolic Dog Dry Food",$86.99,https://yourpetpa.com.au/products/hills-prescription-diet-metabolic-dog-dry-food,https://yourpetpa.com.au/cdn/shop/products/120396_1024x1024.jpg?v=1658470226
"Hill's Science Diet Adult 11+ Chicken Cat food",$33.96,https://yourpetpa.com.au/products/hills-science-diet-adult-11-chicken-recipe-cat-food,https://yourpetpa.com.au/cdn/shop/products/Hill_sScienceDietAdult11_SeniorDryCatFood1.58kg1462-1_1024x1024.jpg?v=1633473558
"Hill's Science Diet Adult Large Breed Chicken & Barley Dog Dry Food",$125.99,https://yourpetpa.com.au/products/hills-science-diet-adult-large-breed-chicken-barley-dog-dry-food,https://yourpetpa.com.au/cdn/shop/products/Hill_sScienceDietAdultLargeBreedDryDogFood12kg10315HG-1_1024x1024.jpg?v=1629687474
"Hill's Prescription C/D Stress Chicken Urinary Care Cat Food 12 x 85gm pouches",$38.00,https://yourpetpa.com.au/products/hills-prescription-c-d-stress-chicken-urinary-care-cat-food-12-x-85gm-pouches,https://yourpetpa.com.au/cdn/shop/products/122202_1024x1024.jpg?v=1658287002
"Hill's Science Diet Adult Sensitive Stomach & Skin Chicken Recipe Dog Dry Food",$31.77,https://yourpetpa.com.au/products/hills-science-diet-sensitive-stomach-skin-chicken-recipe-dog-dry-food,https://yourpetpa.com.au/cdn/shop/products/Hill_sScienceDietAdultSensitiveStomach_SkinDryDogFood1.81kg10115-1_1024x1024.jpg?v=1629688032
"Hill's Prescription Diet Gastrointestinal Biome Cat Dry Food",$52.50,https://yourpetpa.com.au/products/hills-prescription-diet-gastrointestinal-biome-cat-dry-food,https://yourpetpa.com.au/cdn/shop/products/121278_1024x1024.jpg?v=1658294552
